Course Number,Course Title,Subject,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,,,,
AAS 411,Caribbean Religions: Creole Spiritualities from Vodou to Islam,AAS,Caribbean Culture,Religion & Spirituality,Literature and Music,Culture,Diasporic Communities,,,,
AAS 458,Issues in Black World Studies,AAS,Black studies,Cutlure,World History,Race & Identity,Development,,,,
AAS 482,Black Queer Theory,AAS,Black Queer Studies,Intersectionality,Diaspora Perspectives,History,Gender & Identity,,,,
AAS 490,Special Topics in Black World Studies,AAS,Black studies,Global Culture,Race,Literature,History,,,,
AAS 495,Senior Seminar,AAS,Specialized topics,Advanced Afroamerican Studies,African & Caribbean Studies,Senior Capstone,Research,,,,
AAS 498,DAAS In Action,AAS,Capstone Project,Applied African Studies,Skill Development,Social Change,Collaborative Learning,,,,
AAS 558,Seminar in Black World Studies,AAS,Graduate Seminar,Black Diaspora,Interdisciplinary Research,Theoretical Frameworks,Research & Scholarship,,,,
AERO 102,Heritage and Values of the United States Air Force II,AERO,U.S. Air Force History,Military Organization,Airpower in Warfare,Mission & Values,Intro to Military Studies,,,,
AERO 202 / UC 202,Team and Leadership Fundamentals II,AERO,Leadership Development,Team Dynamics,Cadet to Officer Transition,Field-Training Preparation,Military Leadership Mindset,,,,
AERO 311,Leading People and Effective Communication II,AERO,Advanced Leadership Skills,Management Techniques,Professional Communication,Communication,Junior and Senior Cadet Training,,,,
AERO 411,National Security Affairs/Preparation for Active Duty II,AERO,National Security,Military Officer Preparation,American History,Senior Cadet Training,Public Policy,,,,
ALA 101,A User's Guide to the Liberal Arts,ALA,Mini-course,College Education,Career Growth,Liberal Arts,Speaking,,,,
ALA 103,Michigan Community Scholars Program: Academic Decision Making,ALA,Leadership Development,Decision Making,Academic & Career Growth,Responsibility,Social Change,,,,
ALA 105,Digital Research: Critical Concepts and Strategies,ALA,Digital Research Skills,Information Literacy,Academic Integrity,Search Strategies,Collaborative Learning,,,,
ALA 108,STEM Success,ALA,Research,Source Locating,Reading,Analysis,STEM disciplines,,,,
ALA 109,Perspectives on Health Care,ALA,Health Sciences,Health Equity & Society,Health and Culture,Health and Politics,Health Care Systems,,,,
ALA 115,The Financially Savvy Student,ALA,Money Management,Decision Making,Budgeting,College Finances,Financial Planning,,,,
ALA 118 / SI 106,"Programs, Information and People",ALA,Informatics,Intro to Programming,Human-Technology Interaction,Data Access,Software Development,,,,
ALA 119 / SI 110 / STS 110,Introduction to Information Studies,ALA,Information Age,Technology & Culture,Information Politics,Information Economics,Information Literacy,,,,
ALA 122 / ECUC 112 / PSYCH 122 / SOC 122,Integroup Dialogues,ALA,Multiculturalism,Social Identity,Conflict Resolution,Reflective Learning,Communication,,,,
ALA 125,Positioning Yourself for a Successful Internship,ALA,Internships,Networking,Interviewing,Career Exploration,Communication,,,,
ALA 171,Making the Most of Michigan,ALA,Michigan,Goal Setting,Learning,Undergraduate experience,College Life,,,,
ALA 211,Addressing Critical Global issues,ALA,GSP Only,Global Justice,Multiculturalism,Guest Lectures,Colaboration,,,,
ALA 212,Practicum: Facilitating Global Engagement,ALA,GSP Only,Multiculturalism,Diversity,Skill Building,Communication ,,,,
ALA 217,"Fake News, Lies, and Misinformation: Hot to Sort Fact from Fiction",ALA,Media,Critical Thinking,News Evaluation,News Production,News Consumption,,,,
ALA 220 / PSYCH 213 / SOC 218,Foundations of Integroup Relations,ALA,Social Identity,Privilege & Power,Group Interactions,Bias,Society,,,,
ALA 221,Introduction to Social Justice and Integroup Relations Education,ALA,Group Interactions,Social Justice,Education,Student Engagement,Integroup tensions,,,,
ALA 223 / PSYCH 223,Entrepreneurial Creativity,ALA,Entrepreneurship,Creativity & Innovation,Creative Thinking,Project Design,Problem Solving,,,,
ALA 225,Undergraduate Internship,ALA,Internships,Experiential learnin,Skill Development,Professional Growth,Career Exploration,,,,
ALA 240,Living Well in College and Beyond,ALA,Personal Well-Being,Motivation,Positive Psychology,Social Justice,Success,,,,
ALA 250,Topics in Critical Issues,ALA,Speaking Series,Detroit,Health,Education,Sustainability,,,,
ALA 251 / PUBHLTH 250,On Purpose: Designing and Living a Big Life,ALA,Purposeful Living,Health,Well-being,Philosophy of purpose,Science of Purpose,,,,
ALA 256,Innovator's Toolkit,ALA,Innovation,Complex Social Problems,Water,Impact,Problem Solving,,,,
ALA 260,Humanities Topics in ALA,ALA,Humanities,Topics,Liberal Arts,Variety,non-LSA faculty,,,,
ALA 264,Interdisciplinary Topics in ALA,ALA,Interdisciplinary,Topics,Liberal Arts,Variety,non-LSA faculty,,,,
ALA 265,Topics for Professional Development,ALA,Professional Development,Career Exploration,Skill Building,Opportunity Hub,Student Growth,,,,
ALA 270,Applied Liberal Arts Topics,ALA,Topics,Liberal Arts,Variety,Applications,Special Course,,,,
ALA 275,Foundations in Leadership and Fellowship,ALA,Leadership,Fellowship,Team Direction,Skill Building,Servant Leadership,,,,
ALA 280,Undergraduate Research,ALA,Experiential Learning,Research,Student Needs,Interdisciplinary,Undergraduate Learning,,,,
ALA 281,Entering Research,ALA,UROP,Research,Hands-on Experiences,Writing & Communication,Problem Solving,,,,
ALA 290,Public Speaking in the Digital Age,ALA,Oral Communication,Civic Engagement,Presentations,Confidence,Speaking,,,,
ALA 291 / COMM 291,Public Speaking: World of Work,ALA,Oral Communication,Work,Presentations,Interviewing,Pitching,,,,
ALA 315,Popular Science,ALA,Reading,Understanding,Skill Building,Analysis,Popular Science,,,,
ALA 320 / PSYCH 310 / SOC 320,Processes of Integroup Dialogues Facilitation,ALA,Multiculturalism,Group Interactions,Social Identity,Diversity,Communication,,,,
ALA 321 / EDUC 329 / PSYCH 311 / SOC 321,Practicum in Facilitating Integroup Dialogues,ALA,Experiential Learning,Group Observation,Conflict Resolution,Community Building,Communication,,,,
ALA 322 / PSYCH 324 / SOC 324,Advanced Practicum in Integroup Relations,ALA,Applied Work,Integroup Relations,Communication,Conflict Resolution,Diversity,,,,
ALA 323,IGR Directed Study,ALA,IGR Program,Independent Study,Experiential Learning,Research,Student Growth,,,,
ALA 324 / EDUC 325,Facilitation in Community Settings,ALA,Race Dialogues,Communication,Community Building,Student Outreach,Experiential Learning,,,,
ALA 325,Putting Your Education to Work,ALA,Postgrad Planning,Narrative Building,Communication,Setting Goals,Career Preparation,,,,
ALA 350,Predicting the Future,ALA,Multidiscplinary ,Future,Science,Humanities,Exploratory,,,,
ALA 380,Let's Talk Undergraduate Research: Communicating Scholarly Inquiry Within Academia and Beyond,ALA,Research,Liberal Arts,Professional Goals,Skill Building,Communication,,,,
ALA 429 / PSYCH 411 / SOC 471,IGR Senior Capstone: Social Justice in the Real World,ALA,Senior Capstone,Social Justice,Change,Multiculturalism,Teamwork,,,,
ALA 470,Applied Liberal Arts Topics,ALA,Topics,Liberal Arts,Variety,Applications,Student Growth,,,,
ALA 471,Leadership and Facilitation in Community Building,ALA,Student Identity,Group Facilitation,Leadership,Community Building,Resident Education Staff,,,,
ALA 472,Advanced Leadership and Facilitation in Community,ALA,Leadership,Residence Education Staff,Group Facilitation,Student Identity,Communication,,,,
AMAS 310,Arab American Studies and the Social Sciences,AMAS,Arab American Studies,Social Science,Culture,History,Integroup Relations,,,,
AMAS 311,Arab American Studies and the Humanities,AMAS,Arab American Studies,Humanities,Culture,History,Integroup Relations,,,,
AMAS 378 / AMCULT 382 / ENGLISH 378 / ISLAM 378,Muslim and Arab Literatures,AMAS,Muslim Literature,Arab Literature,US Culture,World Culture,Writing,,,,
AMAS 390,Internship in Arab and Muslim American Studies,AMAS,Internships,Arab and Muslim American Studies,Experiential Learning,Hands-on Learning,Community Outreach,,,,
AMCULT 103,First Year Seminar in American Studies,AMCULT,First-year,American Studies,Humanities,Participation,Seminar,,,,
AMCULT 201,American Values,AMCULT,American Culture,U.S. History,Race & Ethnicity,Values,Communication,,,,
AMCULT 202 / DIGITAL 202,Digital Culture,AMCULT,Technology,Contemporary Culture,Cultural Production,Race & Class,Gender & Sexuality,,,,
AMCULT 204,Themes in American Culture,AMCULT,American Studies,Interdiscplinary,Culture,Literature,Sociology,,,,
AMCULT 214 / ASIANPAM 214,Introduction to Latina/o Studies,AMCULT,American Culture,Latina/o Art,Community,U.S. History,Interdisciplinary,,,,
AMCULT 221 / SOC 221,Unequal America: Understanding Social Inequality,AMCULT,Inequality,American Culture,Psychology,Economics,Research,,,,
AMCULT 223 / NATIVEAM 223,Elementary Ojibwe II,AMCULT,Ojibwe,Language,Culture,Native American Studies,Communication,,,,
AMCULT 224 / LATINOAM 224 / SPANISH 278,Spanish for Heritage Language Learners,AMCULT,Spanish,Culture,Grammar & Vocabulary,Biculturalism,Reading & Writing,,,,
AMCULT 230 / HISTART 230,Art and Life in 19th-Century America,AMCULT,Art & Culture,Industrialization,International Art movements,Museums,Research,,,,
AMCULT 240 / WGS 240,Introduction to Women's and Gender Studies,AMCULT,Feminism,Popular Culture,American Culture,Gender & Identity,Reading,,,,
AMCULT 243 / LATINOAM 243 / WGS 243,Latina Women in the U.S.,AMCULT,Gender,Culture,Identity,Latina Studies,American Culture,,,,
AMCULT 300,Practices of American Culture,AMCULT,American Studies,Media,Politics,History,Diversity,,,,
AMCULT 301,Topics in American Culture,AMCULT,American Culture,Experiential Learning,Interdisciplinary,Topics,History,,,,
AMCULT 304 / LATINOAM 304 / SOC 304,American Immigration,AMCULT,American Culture,U.S. History,Race & Ethnicity,Immigration,Integroup Relations,,,,
AMCULT 310,Topics in Ethnic Studies,AMCULT,American Culture,Sociall Sciences,Ethnic Studies,U.S. History,Variety,,,,
AMCULT 311,American Culture and the Humanities,AMCULT,Humanities,American Culture,U.S. History,Ethnic Studies,Variety,,,,
AMCULT 321,Detroit Initiative,AMCULT,Experiential Learning,Community Outreach,Field Trips,Detroit,Well-Being,,,,
AMCULT 323 / NATIVEAM 323,Intermediate Ojibwe II,AMCULT,Ojibwe,Language,Culture,Native American Studies,Communication,,,,
AMCULT 334 / COMM 334 / DIGITAL 334 / FTVM 334,"Race, Gender, Sexuality and U.S. Cultue in Video Games",AMCULT,Video Games,Race & Ethnicity,History,Diversity,Conflict,,,,
AMCULT 338 / HISTORY 338 / NATIVEAM 338,Topics in Native American History,AMCULT,History,Culture,Society,Native American Studies,Topics,,,,
AMCULT 341 / HISTORY 343,Rise of the Corporation,AMCULT,American Corporation,Capitalism,Economic Growth,Capital/Labor Relations,Technological growth,,,,
AMCULT 346 / COMM 346 / DIGITAL 346 / FTVM 346 / GERMAN 346,Media Matter: From Print to Screen Culture,AMCULT,German,Writing & Radio,Film & TV,Culture & Identity,Politics,,,,
AMCULT 348 / HISTORY 346,History of American Radicalism,AMCULT,History,Feminism,Anti-globalization,Race,Radicalism,,,,
AMCULT 350 / THTREMUS 315,Broadway and American Culture,AMCULT,Racial Representation,Musical Theatre,Analysis,American Culture,Performance,,,,
AMCULT 352 / ASIANPAM 352,Asian/Pacific Islander American Cultural Performance,AMCULT,Culture night shows,Asian/Pacific Islander American,Community,Interpretation,Show Production,,,,
AMCULT 359 / ASIANPAM 359,South Asian Diaspora in America,AMCULT,Migration,South Asia,North America,Art & Immigration,Writing & Film,,,,
AMCULT 376 / AAS 384 / ENGLISH 384,Caribbean Literature,AMCULT,Caribbean Culture,Race & Ethnicity,Lterature,Migration,History,,,,
AMCULT 382 / AMAS 378 / ENGLISH 378 / ISLAM 378,,AMCULT,Modern & Contemporary Literature,Muslim and Arab Studies,American Culture,World Culture,Writing,,,,
AMCULT 383,Juniors Honors Reading and Thesis,AMCULT,Juniors,Readings,Thesis,Honors,American Culture,,,,
AMCULT 389,Reading Course in American Culture,AMCULT,Readings,Internships,Independent Study,Learning,American Culture,,,,
AMCULT 395 / LATINOAM 365 / RCSTP 362,Migrants: Understanding the Inequities in the US Agricultural Workforce,AMCULT,Global Migration,Heath & Education,Student Experimentation,Econoimc & Political Models,Agriculture,,,,
AMCULT 397 / LATINOAM 307 / RCSTP 307,Spanish Language Internship Project,AMCULT,Latino Community,Engaged Learning,U.S. History,Race,Internship,,,,
AMCULT 398,Junior Honors Writing Workshop,AMCULT,Juniors,American Culture,Honors,Writing,Workshop,,,,
AMCULT 404 / LATINOAM 404 / SOC 404,Latinas/os in the U.S.: Social Problems and Social Issues,AMCULT,Race & Ethnicity,Class,Legal System,Migration,Latin American Studies,,,,
AMCULT 405,Topics in American Culture,AMCULT,American Culture,Interdisciplinary,Academic Exploration,Topics,Learning,,,,
AMCULT 410 / DIGITAL 410 / SI 410 / STS 410,Ethics and Information Technology,AMCULT,New Technology,Social Media interaction,Memory,Ethics,Information Use,,,,
AMCULT 493,Honors Readings and Thesis,AMCULT,American Culture,Thesis,Readings,Independent Study,Honors,,,,
AMCULT 498,Capstone Seminar in American Culture,AMCULT,American Culture,History,Capstone,Independent Study,Mentorship,,,,
ANATOMY 541 / NEURO 532 / PHYSIOL 541 / PSYCH 532,Mammalian Reproductive Physiology,ANATOMY,Biomedical Sciences,Reproduction,Mammalian Studies,Advanced Physiology,Career Preparation,,,,
ANTHRARC 181,Past Meets Present: Discovering Archaeology,ANTHRARC,Archaeology,Ancient history,Present Society,Anthropology,Discovery,,,,
ANTHRARC 281 / MATSCIE 281,Making Things: Three Million Years of Materials and Culture,ANTHRARC,New Materials,Maerial Science,Engineering,Anthropology,Archaeology,,,,
ANTHRARC 284,"Aztec, Maya, and Inca Civilizations",ANTHRARC,Latin America,Anthropology,Aztecs,Mayans,Incas,,,,
ANTHRARC 386,Early Civilizations,ANTHRARC,American History,Mesoamerica,Archaeology,States & Empires,Civilization,,,,
ANTHRARC 399,Honors in Anthropological Archaeology,ANTHRARC,Honors Program,Anthropology,Experiential Learning,Student Growth,Liberal Arts,,,,
ANTHRARC 482,Topics in Anthropological Archaeology,ANTHRARC,Juniors,Anthropology,Archaeology,Topics,Liberal Arts,,,,
ANTHRARC 497,Museum Anthropology,ANTHRARC,Anthopology Museums,Ownership,Representation,Ethics,Field Trips and Projects,,,,
ANTHRARC 499,Undergraduate Reading and Research in Anthropology,ANTHRARC,Anthopology,Inependent Study,Reading,Research,Hands-on Direction,,,,
ANTHRBIO 133 / COMPFOR 133 / ENVIRON 133,Fundamentals of Scientific Computing in R,ANTHRBIO,Scientific Computing,Programming in R,Information Analysis,Data Studies,Introduction,,,,
ANTHRBIO 201,How Humans Evolved,ANTHRBIO,Human Evolution,Genetics,History,Fossils,Theory,,,,
ANTHRBIO 342 / ANTHRCUL 342,Nature/Culture Now!,ANTHRBIO,Biological Anthropology,Cultural Anthropology,Race & Sex,Heath & Disease,nature/culture,,,,
ANTHRBIO 362 / EEB 362 / ENVIRON 362,Primate Evolutionary Ecology,ANTHRBIO,Primate Ecology,Evolutionary history,The Environment,Social groups & populations,Biology,,,,
ANTHRBIO 370,U.G. Reading and Research in Anthropology,ANTHRBIO,Lab Work,Readings,Research,Biological Anthropology,Lab training,,,,
ANTHRBIO 371,Techniques in Biological Anthropology,ANTHRBIO,Lab Work,Readings,Research,Biological Anthropology,Lab training,,,,
ANTHRBIO 373,Humans and Environmental Change,ANTHRBIO,Human Evolution,Biology,Ecology,Evolutionary History,Anthropology,,,,
ANTHRBIO 399,Honors in Biological and Evolutionary Anthropology,ANTHRBIO,Seniors,Honors Program,Research Project,Faculty supervision,Anthropology,,,,
ANTHRBIO 453,"Developmental Origins of Health and Disease: Evolutionary, Epigenetic, and Epidemiological Approaches",ANTHRBIO,Human Health and Disease,Research,Evolutionary Anthropology,Epigenetics,Epidemiology,,,,
ANTHRBIO 465,Primate Functional Anatomy,ANTHRBIO,Evolutionary History,Primate Anatomy,Fossils,Monkeys & Apes,Human Evolution,,,,
ANTHRBIO 472,Human Nature,ANTHRBIO,Sexual selection,Parent Investment,Reciprocity,Morality,Religion,,,,
ANTHRBIO 476,Evolution of the Human Diet,ANTHRBIO,Human Evolution,Diets,Fossils,Archaeology,History,,,,
ANTHRBIO 478 / PSYCH 469,Advanced Primate Behavior,ANTHRBIO,Primate Behavioral Ecology,Reproduction & Sexual Selection,Cooperation & Conflict,Cultural Transmission,Primate Cognition,,,,
ANTHRCUL 101,Introduction to Anthropology,ANTHRCUL,Anthropology,Introduction,Sociocultural Studies,History,Culture,,,,
ANTHRCUL 158,First Year Seminar in Anthropology,ANTHRCUL,Anthropology,History of Anthropology,Culture,Skill Building,Diversity,,,,
ANTHRCUL 226 / HISTORY 229,Introduction to Historical Anthropology,ANTHRCUL,History,Knowledge of the Past,Literature,Race & Gender,Nation & Ethnicity,,,,
ANTHRCUL 244 / STS 244,Introduction to Medical Anthropology: Systems of Health and Healing,ANTHRCUL,Healing & Illness,Morality,Medicine,Biomedicine,Disease,,,,
ANTHRCUL 246 / ISLAM 246 / RELIGION 246,Anthropology of Religion,ANTHRCUL,Religion,Religious Studies,Power,Tolerance,Faith,,,,
ANTHRCUL 272 / LING 272,Language in Society,ANTHRCUL,Language,Society,Social Class,Thought & Meaning,Child Language,,,,
ANTHRCUL 298,Topics in Sociocultural Anthropology,ANTHRCUL,Anthropology,Sociocultural Studies,Topics,Liberal Arts,Variety,,,,
ANTHRCUL 317 / HISTORY 228 / POLSCI 334 / REEES 397 / SLAVIC 397 / SOC 317,Communism and Capitalism in Eastern Europe,ANTHRCUL,20th Century History,Anthropology,Socialism & Communism,Culture,Economics & Politics,,,,
ANTHRCUL 320,Mexico: Culture and Society,ANTHRCUL,Mexico,Culture,National Identity,History,Social Construction,,,,
ANTHRCUL 337,"Death, Dying and the Afterlife",ANTHRCUL,Anthropology,Religion,Political Anthropology,Medical Anthroplogy,History & Culture,,,,
ANTHRCUL 342 / ANTHRBIO 342,Nature/Culture Now!,ANTHRCUL,Biological Anthropology,Cultural Anthropology,Race & Sex,Heath & Disease,nature/culture,,,,
ANTHRCUL 353 / AAS 353,Urban Ethnography and the Black Experience,ANTHRCUL,US History,Urban Anthropology,Black culture,Ethnography,Representation,,,,
ANTHRCUL 356,Topics in Sociocultural Anthropology,ANTHRCUL,Anthropology,Liberal Arts,Topics,Variety,Culture,,,,
ANTHRCUL 365 / AAS 365 / WGS 365,"Global Perspectives on Gender, Health, and Reproduction",ANTHRCUL,Gender,Race,Class Differences,Hygeine & Sickness,Health & Conduct,,,,
ANTHRCUL 370 / LING 370,Language and Discrimination: Language as Social Statement,ANTHRCUL,Language,Social Conflict,Race & Ethnicity,Social Statement,Discrimination,,,,
ANTHRCUL 409,Peoples and Cultures of the Near East and North Africa,ANTHRCUL,Juniors,Culture,Anthropology,Near East,North Africa,,,,
ANTHRCUL 430 / HISTORY 430 / MIDEAST 480,"History, Memory, and Silence in the Middle East",ANTHRCUL,Anthropology of Memory,Ethnography,Post-Ottoman Legacies,Politics & Representation,Historiography,,,,
ANTHRCUL 435,Anthropology of Resentment,ANTHRCUL,US Culture,Resentment,Anthropology,Philosophy,History & the Arts,,,,
ANTHRCUL 440,Environmental Anthropology,ANTHRCUL,Environmental Problems ,Globalization,Anthropology,Corporates & States,Media,,,,
ANTHRCUL 458,Topics in Sociocultural and Linguistic Anthropology,ANTHRCUL,Socicultural Studies,Linguistics,Topics,Liberal Arts,Variety,,,,
ANTHRCUL 473 / LING 473,Oral Narrative and Poetics,ANTHRCUL,Language,Social Groupings,Multiculturalism,Linguistics,Practice & Ideology,,,,
ANTHRCUL 498,Honors in Sociocultural and Linguistic Anthropology,ANTHRCUL,Honors,Seniors,Anthropology,Sociocultural Studies,Linguistics,,,,
ANTHRCUL 499,Undergraduate Reading and Research in Anthropology,ANTHRCUL,Readings,Research,Independent Study,Student Growth,Anthropolgy,,,,
ANTHRCUL 553,"Blurred Genres: Autobiography, Fiction & Ethnography",ANTHRCUL,Ethnographic Narratives,Literary Anthropology,History & Politics,Faminism,Autobiographic Ethnography,,,,
ANTHRCUL 577,Language as Social Action,ANTHRCUL,Anthropology,Culture,Language,History,Social Action,,,,
APPPHYS 541 / ECE 541,Applied Quantum Mechanics II,APPPHYS,Advanced Quantum Mechanics,Quantum Electrodynamics,Scattering Theory,Density Matrix Formalism,Quantization,,,,
APPPHYS 672 / NERS 572,Plasma and Controlled Fusion II,APPHYS,Applied Physics,Advanced Sciecne,Plasma,Controlled Fusion,Applications,,,,
ARABIC 102,Elementary Arabic II,ARABIC,Arab Culture,Language,Speaking,Reading & Writing,Understanding,,,,
ARABIC 122,Classical Arabic II,ARABIC,Reading Comprehension,Arabic texts,Translation,Analysis,Islam,,,,
ARABIC 202,Intermediate Arabic II,ARABIC,Arab Culture,Language,Reading & Writing,Speaking,Understanding,,,,
ARABIC 402,Advanced Arabic II,ARABIC,Arab Culture,Language,Reading & Writing,Speaking,Understanding,,,,
ARABIC 426,Levantine Arabic II,ARABIC,Levantine Culture,News & Media,Film & TV,Song Analysis,Arabic,,,,
ARABIC 499,Independent Study in Arabic,ARABIC,Independent Study,Arabic Language,Arab Culture,Experential Learning,Student Growth,,,,
ARABIC 507 / LING 433,Arabic Syntax and Semantics,ARABIC,Arabic Language,Grammar,Syntax,Semantic Analysis,Arabic Dialects,,,,
ARABIC 511,Contemporary Arab Cinema,ARABIC,Arab Culture,Arab Cinema,Economics & Politics,Language,Social Change,,,,
ARABIC 513,Arabic-English Translation: Theory and Practice,ARABIC,Linguistics,Translation,Arabic,English,Textual Analysis,,,,
ARCH 212 / HISTART 212,Understanding Architecture,ARCH,Architectural Fundamentals,Historical Architecture,Architectural Design,Cultural Contexts,Architectural Appreciation,,,,
ARCH 357 / ENVIRON 357 / URP 357,"Architecture, Sustainability and the City: Ideas, Forces and People Shaping the Built Environment",ARCH,Sustainable Architecture,Urban Planning & Design,Environmental Impact,Public Spaces & Livability,Cultural & Historical Case Studies,,,,
ARCH 411 / DIGITAL 411 / UT 411,Becoming Digital,ARCH,Digital Literacy,Ethics of Technology,Smart Cities,AI & Virtual Reality,Digital Design,,,,
ARCH 423 / ENVIRON 420 / URP 423,Introduction to Urban and Environmental Planning,ARCH,Urban Planning,Equity & Sustainability,Transportation & Infrastructure,Housing & Land Use,Economic Development,,,,
ARCHAM 104,Ancient Cities,ARCHAM,Mediterranean Culture,Urban Centers,Ancient History,Rome and Pompeii,Archaeology,,,,
ARCHAM 221 / HISTART 221,"Temples, Towns and Tombs: Introduction to Greek Art and Archaeology",ARCHAM,Ancient Greek History,Archaeology,Artifacts,Technological innovation,Sociopolitical change,,,,
ARCHAM 228 / HISTART 228,Visual Cultures of Ancient Rome,ARCHAM,Roman History,Archaeology,Civic and Domestic media,Funerary & Mercantile Media,Art History,,,,
ARCHAM 327 / CLCIV 327 / MIDEAST 355 / RELIGION 326,"Jews in the Roman Mediterranean: Archaeology, Religion, and Culture",ARCHAM,Jewish History,Roman Empire,Byzantine Empire,Ancient History,Religion & Culture,,,,
ARCHAM 382 / CLCIV 382 / ENVIRON 392,Food in the Ancient World: Subsistence and Symbol,ARCHAM,Food Production,Food Consumption,Ancient History,Greek History,Roman History,,,,
ARCHAM 389 / CLCIV 379 / HISTART 389,Pompeii,ARCHAM,Italian History,Economics & Politics,Cultural Contexts,Historical Contexts,Archaeology,,,,
ARCHAM 425,Hellenistic and Republican Roman Architecture,ARCHAM,Architecture,Italian History,Ancient Rome,Mediterranean Culture,Archaeology,,,,
ARCHAM 435 / HISTART 435,The Art and Archaeology of Asia Minor,ARCHAM,Turkey,Art History,Archaeology,Ancient History,Asia Minor,,,,
ARCHAM 495,Senior Honors Research,ARCHAM,Seniors,Honors,Thesis,Research,Classical Archaeology,,,,
